	Gene	Block	Mutagenesis Start	Mutagenesis End
0	FRED1	1	3	138
1	FRED1	2	123	288
2	FRED1	3	279	441
3	FRED1	4	432	594
4	FRED1	5	588	759
5	FRED1	6	750	909
6	FRED1	7	903	1065
7	FRED1	8	1053	1224
8	FRED1	9	1212	1380
9	FRED1	10	1371	1533
10	FRED1	11	1527	1656
11	FRED2	1	3	114
12	FRED2	2	114	255
13	FRED2	3	246	390
14	FRED2	4	387	519
15	FRED2	5	513	666
16	FRED2	6	651	801
17	FRED2	7	786	930
18	FRED2	8	927	1071
19	FRED2	9	1062	1206
20	FRED2	10	1200	1341
21	FRED2	11	1338	1476
22	FRED2	12	1476	1614
23	FRED2	13	1602	1722
24	FRED3	1	3	141
25	FRED3	2	132	306
26	FRED3	3	288	456
27	FRED3	4	456	624
28	FRED3	5	615	780
29	FRED3	6	774	939
30	FRED3	7	930	1107
31	FRED3	8	1098	1260
32	FRED3	9	1260	1425
33	FRED3	10	1416	1584
34	FRED3	11	1578	1713
35	VWF1	1	3	123
36	VWF1	2	117	267
37	VWF1	3	264	414
38	VWF1	4	402	555
39	VWF1	5	549	699
40	VWF1	6	690	852
41	VWF1	7	834	993
42	VWF1	8	981	1140
43	VWF1	9	1134	1275
44	VWF1	10	1269	1422
45	VWF1	11	1416	1575
46	VWF1	12	1560	1683
47	VWF2	1	3	132
48	VWF2	2	114	279
49	VWF2	3	267	420
50	VWF2	4	414	576
51	VWF2	5	561	720
52	VWF2	6	711	873
53	VWF2	7	864	1020
54	VWF2	8	1011	1164
55	VWF2	9	1158	1314
56	VWF2	10	1308	1467
57	VWF2	11	1449	1614
58	VWF2	12	1605	1728
59	VWF3	1	3	138
60	VWF3	2	132	300
61	VWF3	3	285	459
62	VWF3	4	453	618
63	VWF3	5	600	768
64	VWF3	6	762	930
65	VWF3	7	918	1095
66	VWF3	8	1086	1248
67	VWF3	9	1242	1407
68	VWF3	10	1395	1569
69	VWF3	11	1554	1692
70	VWF4	1	3	132
71	VWF4	2	132	291
72	VWF4	3	282	453
73	VWF4	4	444	612
74	VWF4	5	606	765
75	VWF4	6	762	930
76	VWF4	7	915	1086
77	VWF4	8	1080	1245
78	VWF4	9	1236	1401
79	VWF4	10	1389	1557
80	VWF4	11	1548	1686
81	VWF5	1	3	129
82	VWF5	2	111	273
83	VWF5	3	261	414
84	VWF5	4	405	555
85	VWF5	5	552	702
86	VWF5	6	696	846
87	VWF5	7	837	987
88	VWF5	8	987	1140
89	VWF5	9	1128	1281
90	VWF5	10	1275	1422
91	VWF5	11	1416	1569
92	VWF5	12	1566	1683
