Unnamed: 0	Gene	Block	Mutagenesis Start	Mutagenesis End
0	FRED3	1	3	150
1	FRED3	2	138	306
2	FRED3	3	303	471
3	FRED3	4	456	624
4	FRED3	5	621	783
5	FRED3	6	783	954
6	FRED3	7	945	1113
7	FRED3	8	1098	1263
8	FRED3	9	1260	1425
9	FRED3	10	1425	1584
10	FRED3	11	1584	1713
0	FRED1	1	3	114
1	FRED1	2	105	258
2	FRED1	3	252	402
3	FRED1	4	396	540
4	FRED1	5	537	684
5	FRED1	6	678	828
6	FRED1	7	816	972
7	FRED1	8	963	1110
8	FRED1	9	1107	1248
9	FRED1	10	1242	1392
10	FRED1	11	1386	1533
11	FRED1	12	1530	1656
0	FRED2	1	3	144
1	FRED2	2	138	312
2	FRED2	3	294	468
3	FRED2	4	462	630
4	FRED2	5	618	786
5	FRED2	6	783	939
6	FRED2	7	933	1107
7	FRED2	8	1095	1269
8	FRED2	9	1254	1422
9	FRED2	10	1413	1581
10	FRED2	11	1572	1722
